,1-0-5-amf,1250-0-5-amf,13-0-5-amf,1338-0-5-amf,1387-0-5-amf,522-0-5-amf,856-0-5-amf,98-0-5-amf,1601-0-5-AMF,1619-0-5-AMF,1832-0-5-AMF,1850-0-5-AMF,1859-0-5-AMF,1875-0-5-AMF,1973-0-5-AMF,2355-0-5-AMF,2352-0-5-AMF,2597-0-5-AMF,2398-0-5-AMF,2500-0-5-AMF,2537-0-5-AMF,2629-0-5-AMF,2869-0-5-AMF,2893-0-5-AMF,2923-0-5-AMF,3239-0-5-AMF,3381-0-5-AMF,3409-0-5-AMF,3500-0-5-AMF,3667-0-5-AMF,3682-0-5-AMF,3779-0-5-AMF,3907-0-5-AMF,473-0-5-AMF,672-0-5-AMF,717-0-5-AMF
ASV1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000330797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000527148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000649632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3416,0,0,0,0,0,0,0,0,0,0,0,0.000553403,0,0,0,0,0,0,0,0.000816493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1904,0,0.001484047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2894,0,0.000742023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000745156
ASV3002,0,0.000989364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1849,0,0,0,0,0,0,0,0,0,0,0,0.001106807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000744048,0,0,0,0,0,0,0
ASV3411,0,0,0,0,0,0,0,0,0,0,0,0,0.000687285,0,0,0,0,0.000216544,0.001054296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002061249,0,0,0,0,0,0,0,0,0,0
