,tree_richness,AMdominance,AMtreerichness,EMtreerichness
1-0-5-amf,1,1,1,0
1239-5-10-amf,2,0.286,1,1
1250-0-5-amf,1,1,1,0
1250-5-10-amf,1,1,1,0
13-0-5-amf,3,0.7,2,1
13-5-10-amf,3,0.7,2,1
1338-0-5-amf,4,0.055,1,3
1387-0-5-amf,2,0.168,1,1
1387-5-10-amf,2,0.168,1,1
522-0-5-amf,6,0.427,3,3
522-5-10-amf,6,0.427,3,3
672-5-10-amf,2,0.079,1,1
717-5-10-amf,3,0.512,2,1
856-0-5-amf,3,0.721,2,1
856-5-10-amf,3,0.721,2,1
98-0-5-amf,2,0.785,1,1
98-5-10-amf,2,0.785,1,1
1859-5-10-AMF,3,1,2,0
1601-5-10-AMF,5,0.813,4,1
1601-0-5-AMF,5,0.813,4,1
1619-0-5-AMF,1,1,1,0
1619-5-10-AMF,1,1,1,0
1832-0-5-AMF,2,0.023,1,1
1832-5-10-AMF,2,0.023,1,1
1850-0-5-AMF,5,0.134,2,3
1850-5-10-AMF,5,0.134,2,3
1859-0-5-AMF,3,1,2,0
1875-0-5-AMF,2,0,0,2
1875-5-10-AMF,2,0,0,2
1973-5-10-AMF,5,1,5,0
1973-0-5-AMF,5,1,5,0
2355-0-5-AMF,3,0.071,1,2
2352-0-5-AMF,1,1,1,0
2355-5-10-AMF,3,0.071,1,2
2597-0-5-AMF,4,0.378,2,2
2398-0-5-AMF,4,0.133,2,2
2398-5-10-AMF,4,0.133,2,2
2500-0-5-AMF,2,0.724,1,1
2500-5-10-AMF,2,0.724,1,1
2537-5-10-AMF,2,0,0,2
2537-0-5-AMF,2,0,0,2
2597-5-10-AMF,4,0.378,2,2
2629-0-5-AMF,2,0.037,1,1
2629-5-10-AMF,2,0.037,1,1
2869-0-5-AMF,2,0.905,1,1
2893-0-5-AMF,3,0.047,1,2
2893-5-10-AMF,3,0.047,1,2
2923-0-5-AMF,2,1,2,0
2923-5-10-AMF,2,1,2,0
2869-5-10-AMF,2,0.905,1,1
3239-0-5-AMF,3,0.826,2,1
3239-5-10-AMF,3,0.826,2,1
3381-0-5-AMF,3,0.942,2,1
3381-5-10-AMF,3,0.942,2,1
3409-0-5-AMF,1,0,0,1
3409-5-10-AMF,1,0,0,1
3500-0-5-AMF,2,0.443,1,1
3667-0-5-AMF,3,0.156,2,1
3667-5-10-AMF,3,0.156,2,1
3682-0-5-AMF,3,1,3,0
3682-5-10-AMF,3,1,3,0
3779-0-5-AMF,4,1,2,0
3779-5-10-AMF,4,1,2,0
3907-0-5-AMF,4,0.39,3,1
3907-5-10-AMF,4,0.39,3,1
473-0-5-AMF,1,1,1,0
473-5-10-AMF,1,1,1,0
554-5-10-AMF,2,0.093,1,1
672-0-5-AMF,2,0.079,1,1
717-0-5-AMF,3,0.512,2,1
