Name,n_percent,c_percent,cn,pH,Fe_percent
1239-5-10-amf,0.064388859,0.556106131,8.636682453,3.77,0.122143962
1250-5-10-amf,0.08141649,1.220720013,14.99352301,6.14,0.133873316
13-5-10-amf,0.282051061,4.620445251,16.38159143,6.34,0.41764629
1387-5-10-amf,0.084086398,0.974348514,11.58746875,4.04,0.182815402
522-5-10-amf,0.068686497,1.129265441,16.44086529,3.95,0.187311647
672-5-10-amf,0.074429186,1.268331484,17.04078126,3.88,0.111005131
717-5-10-amf,0.194678519,2.184142861,11.21922888,5.08,0.361311928
856-5-10-amf,0.097234031,1.265257403,13.01249568,3.94,0.178644442
98-5-10-amf,0.143589765,1.518753313,10.57703041,4.98,0.23653157
1859-5-10-AMF,0.142857099,1.561695666,10.93187305,4.46,0.24776961
1601-5-10-AMF,0.146419609,1.782062235,12.1709261,3.98,0.520314757
1619-5-10-AMF,0.231163326,8.963584212,38.7759788,7.06,1.276879194
1832-5-10-AMF,0.05714503,1.276869241,22.34436224,4.11,0.143842194
1850-5-10-AMF,0.128581204,1.239866865,9.642675782,4.08,0.329361089
1875-5-10-AMF,0.112111685,1.79348824,15.99733546,4.56,0.136625737
1973-5-10-AMF,0.126161195,1.412061554,11.19251882,4.02,0.334420835
2355-5-10-AMF,0.044970072,0.545376105,12.12753467,3.97,0.140047962
2398-5-10-AMF,0.154818737,2.486598733,16.06135529,3.82,0.228420547
2500-5-10-AMF,0.175359587,3.158305423,18.01045196,3.93,0.209350394
2537-5-10-AMF,0.049435617,0.716783398,14.49933153,3.89,0.178078223
2597-5-10-AMF,0.069667883,0.848607045,12.18074974,4.06,0.165948376
2629-5-10-AMF,0.066397764,1.285646328,19.36279563,3.97,0.140197044
2893-5-10-AMF,0.060403122,0.702632489,11.63238702,4.03,0.1353918
2923-5-10-AMF,0.082324299,0.985452976,11.97037803,3.92,0.245700246
2869-5-10-AMF,0.110866374,1.335203232,12.04335619,4.2,0.179377432
3239-5-10-AMF,0.064280129,0.912367154,14.19361124,5.72,0.236674817
3381-5-10-AMF,0.082891738,0.867502654,10.46548996,5.22,0.163039208
3409-5-10-AMF,0.061454567,0.934991146,15.21434775,4.05,0.286125888
3667-5-10-AMF,0.035861464,0.65533441,18.27405625,4.15,0.078930263
3682-5-10-AMF,0.10795439,1.272269305,11.78524846,4.56,0.253594526
3779-5-10-AMF,0.08094792,0.954411205,11.79043523,5.73,0.153858636
3907-5-10-AMF,0.133474204,1.27226636,9.531926914,5.51,0.782381313
473-5-10-AMF,0.091397135,1.005122474,10.99730827,4.15,0.493071754
554-5-10-AMF,0.081560651,1.097643007,13.45799715,4.01,0.237609947
