,1239-5-10-16S,1250-5-10-16S,13-5-10-16S,1338-5-10-16S,1387-5-10-16S,522-5-10-16S,672-5-10-16S,717-5-10-16S,856-5-10-16S,98-5-10-16S,1859-5-10-16S,1601-5-10-16S,1619-5-10-16S,1832-5-10-16S,1850-5-10-16S,1875-5-10-16S,1973-5-10-16S,2355-5-10-16S,2398-5-10-16S,2500-5-10-16S,2352-5-10-16S,2537-5-10-16S,2597-5-10-16S,2629-5-10-16S,2893-5-10-16S,2923-5-10-16S,2869-5-10-16S,3239-5-10-16S,3381-5-10-16S,3409-5-10-16S,3667-5-10-16S,3682-5-10-16S,3779-5-10-16S,3907-5-10-16S,473-5-10-16S,554-5-10-16S
ASV1,0.010445163,0.008348687,0.005465743,0.015763725,0.008270805,0.012344147,0.011206328,0.009132759,0.019395384,0.007275287,0.010181875,0.003406643,0.008114374,0.019207968,0.010699982,0.014258448,0.015326099,0.013218056,0.016552866,0.007943075,0.022525849,0.009921516,0.015217027,0.015040164,0.010410066,0.012496251,0.014169341,0.013591897,0.007940058,0.020408163,0.013007156,0.011324582,0.009285472,0,0.009401021,0.015880701
ASV10,0.018652077,0,0,0.010871535,0.002899045,0.012468209,0.011371127,0,0.007259725,0,0,0.001252442,0,0.008536875,0.001434634,0.005164477,0,0.003990357,0.004241672,0.005129902,0,0.007848364,0.002647897,0.005981883,0.010410066,0.00419874,0,0,0,0.00548279,0.007190948,0,0,0,0,0.004938511
ASV100,0.002797811,0,0,0,0,0.004342162,0.011645792,0,0,0,0,0,0,0,0,0.003143595,0,0.001330119,0.001086282,0.003226874,0,0,0,0.002563664,0,0,0,0,0,0,0.000563996,0,0,0,0,0
ASV1000,0,0,0,0,0,0,0,0,0.001625312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000881244,0,0,0,0,0.002275588
ASV10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000789928,0,0,0,0,0,0,0,0,0
ASV10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000789928,0,0,0,0,0,0,0,0,0
ASV10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000789928,0,0,0,0,0,0,0,0,0
ASV10003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000789928,0,0,0,0,0,0,0,0,0
ASV10004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000789928,0,0,0,0,0,0,0,0,0
ASV10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000444335,0,0,0,0,0,0,0,0,0
ASV10006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000394964,0,0,0,0,0,0,0,0,0.000387334
ASV10007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000345594,0,0,0,0,0,0,0,0,0
ASV1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002069108,0.001737548,0,0,0,0.001538199,0,0,0,0,0,0,0,0,0,0,0,0
ASV10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000422997,0,0,0,0,0
ASV1002,0,0,0.001077752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001245612,0,0,0
ASV10021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000581001
ASV10025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001385161,0,0,0,0,0,0,0,0
ASV10026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001385161,0,0,0,0,0,0,0,0
ASV10027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001385161,0,0,0,0,0,0,0,0
ASV10028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001385161,0,0,0,0,0,0,0,0
ASV10029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001385161,0,0,0,0,0,0,0,0
ASV1003,0,0,0,0,0,0,0.001922654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001385161,0,0,0,0,0,0,0,0
ASV10031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001385161,0,0,0,0,0,0,0,0
ASV10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001385161,0,0,0,0,0,0,0,0
ASV10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000692581,0,0,0,0,0,0,0,0
ASV1004,0,0,0,0,0,0,0,0,0,0.001251662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000394964,0.001731452,0.002572132,0,0,0,0,0,0,0
