,MAT,TAP
1-0-5-ITS,10.6,962
1239-0-5-ITS,12.5,1118
1250-0-5-ITS,12.3,1181
1338-0-5-ITS,12.4,1159
1387-0-5-ITS,12.6,1088
522-0-5-ITS,12.2,1133
856-0-5-ITS,12.2,1169
98-0-5-ITS,12,1149
1601-0-5-ITS2,13,1013
1619-0-5-ITS2,13,1023
1832-0-5-ITS2,12.6,1297
1850-0-5-ITS2,13,1213
1859-0-5-ITS2,12.7,1325
1875-0-5-ITS2,13,1064
1973-0-5-ITS2,12.9,1111
2355-0-5-ITS2,13,1005
2352-0-5-ITS2,12.8,1043
2597-0-5-ITS2,12.7,1240
2398-0-5-ITS2,12.9,1010
2500-0-5-ITS2,12.9,1092
2537-0-5-ITS2,13.1,1057
2629-0-5-ITS2,12.6,1242
2869-0-5-ITS2,13,1161
2893-0-5-ITS2,13.1,1123
2923-0-5-ITS2,13.4,995
3239-0-5-ITS2,13.5,1185
3381-0-5-ITS2,13.6,1093
3409-0-5-ITS2,13.5,1188
3500-0-5-ITS2,13.1,1313
3667-0-5-ITS2,13.3,1318
3682-0-5-ITS2,13.3,1197
3779-0-5-ITS2,13.4,1272
3907-0-5-ITS2,13.2,1047
473-0-5-ITS2,11.9,1197
554-0-5-ITS2,12.2,1133
672-0-5-ITS2,12.2,1170
717-0-5-ITS2,12.1,1220
