Name,n_percent,c_percent,cn,pH,Fe_percent
1-0-5-ITS,0.328782152,3.631393903,11.04498489,5.47,0.399532925
1239-0-5-ITS,0.100463929,1.367065395,13.60752474,3.73,0.15291941
1250-0-5-ITS,0.168587767,2.289431573,13.58005753,6.3,0.232734764
1338-0-5-ITS,0.176649957,2.49725119,14.13672123,3.97,0.134471112
1387-0-5-ITS,0.150187788,1.763141323,11.73957844,4.42,0.18652978
522-0-5-ITS,0.186276499,4.662105005,25.0278754,4.09,0.204684287
856-0-5-ITS,0.15501217,2.07826378,13.40710074,3.91,0.191500925
98-0-5-ITS,0.303811016,3.47538608,11.43930239,5.12,0.234940872
1601-0-5-ITS2,0.146419609,1.782062235,12.1709261,3.98,0.520314757
1619-0-5-ITS2,0.428308459,12.20306456,28.49129946,6.2,0.858983536
1832-0-5-ITS2,0.112447344,2.875561248,25.57251363,3.59,0.185862216
1850-0-5-ITS2,0.272881939,3.331665167,12.20918166,4.98,0.335556446
1859-0-5-ITS2,0.182015155,2.137413566,11.74305272,4.78,0.245294722
1875-0-5-ITS2,0.194822408,3.174063151,16.29208455,4.46,0.163782064
1973-0-5-ITS2,0.233618701,2.958378124,12.66327616,4.36,0.325005868
2355-0-5-ITS2,0.108864629,2.171277992,19.94475172,3.84,0.210468815
2352-0-5-ITS2,0.188264571,2.269240309,12.05346443,4.29,0.288998035
2597-0-5-ITS2,0.207111445,3.016798144,14.56606199,4.53,0.173810692
2398-0-5-ITS2,0.069574497,0.69766437,10.02758764,4.12,0.373887531
2500-0-5-ITS2,0.068105961,1.083280696,15.9058133,4.41,0.220789605
2537-0-5-ITS2,0.118014943,2.474657056,20.96901454,3.76,0.191838741
2629-0-5-ITS2,0.134926356,2.86676963,21.24692103,3.96,0.189421618
2869-0-5-ITS2,0.230592539,2.987372512,12.95520024,4.66,0.182128906
2893-0-5-ITS2,0.123783124,2.068778469,16.71292822,4.4,0.201634615
2923-0-5-ITS2,0.116516795,1.981272603,17.00418037,3.92,0.251028404
3239-0-5-ITS2,0.148543521,2.567097416,17.2817865,6.35,0.202804642
3381-0-5-ITS2,0.146420968,1.788129994,12.21225358,5.66,0.17699829
3409-0-5-ITS2,0.061454567,0.934991146,15.21434775,4.05,0.286125888
3500-0-5-ITS2,0.338871632,4.897576108,14.45259987,4.7,0.167037779
3667-0-5-ITS2,0.08800581,1.883845285,21.4059194,4.56,0.099921279
3682-0-5-ITS2,0.250738723,3.555165616,14.17876573,5.35,0.263936117
3779-0-5-ITS2,0.154397709,1.714600519,11.10509046,6.22,0.151822356
3907-0-5-ITS2,0.202976967,2.156464137,10.62418148,5.05,0.538510358
473-0-5-ITS2,0.200876269,2.688227858,13.38250593,4.75,0.485921822
554-0-5-ITS2,0.247290698,3.008931893,12.16759026,3.88,0.25428326
672-0-5-ITS2,0.107566572,2.40510981,22.35926804,3.65,0.23736271
717-0-5-ITS2,0.303123308,3.689114662,12.17034312,5.5,0.409079722
