,1239-5-10-amf,1250-5-10-amf,13-5-10-amf,1387-5-10-amf,522-5-10-amf,672-5-10-amf,717-5-10-amf,856-5-10-amf,98-5-10-amf,1859-5-10-AMF,1601-5-10-AMF,1619-5-10-AMF,1832-5-10-AMF,1850-5-10-AMF,1875-5-10-AMF,1973-5-10-AMF,2355-5-10-AMF,2398-5-10-AMF,2500-5-10-AMF,2537-5-10-AMF,2597-5-10-AMF,2629-5-10-AMF,2893-5-10-AMF,2923-5-10-AMF,2869-5-10-AMF,3239-5-10-AMF,3381-5-10-AMF,3409-5-10-AMF,3667-5-10-AMF,3682-5-10-AMF,3779-5-10-AMF,3907-5-10-AMF,473-5-10-AMF,554-5-10-AMF
ASV2343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000164908,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3562,0,0.000227299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000240674,0,0,0,0,0
ASV3007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000359324,0,0,0,0,0,0,0
ASV2901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000412882,0,0,0
ASV3142,0,0,0,0,0,0,0,0,0,0,0,0.000561798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3002,0,0.000340948,0.000313824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000426803,0,0,0.000240674,0,0,0,0,0
ASV3272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000412882,0,0,0
ASV2388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000359324,0,0,0,0.000412882,0,0,0
ASV3408,0,0,0.000470736,0,0,0,0,0,0.000357654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000846262,0,0,0,0,0,0,0,0,0
ASV2781,0,0.000909194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3121,0,0,0.000941472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000947867,0
ASV1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000985869,0,0
ASV1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000989446,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000717618,0,0.000282087,0,0,0,0,0,0,0,0,0
ASV1885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112835,0,0,0,0,0,0,0,0,0
ASV3685,0,0.001136493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001203369,0,0,0,0,0
ASV2914,0,0,0,0,0,0,0,0,0,0,0,0,0.000749064,0,0,0,0,0,0,0,0.000494723,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3521,0,0.001250142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2799,0,0,0.000941472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000564175,0,0,0,0,0,0,0,0,0
ASV2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001551481,0,0,0,0,0,0,0,0,0
ASV3411,0,0,0,0.001393922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000240674,0,0,0,0,0
ASV3811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001649077,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1432,0,0.001704739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV814,0,0,0.001726032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1905,0,0,0.001726032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001794044,0,0,0,0,0,0,0,0,0,0,0
ASV3417,0,0,0.000156912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000333,0,0,0,0,0,0,0,0.001314492,0,0
