,vert.sd,VAI,VCI
1-0-5-amf,5,1.26,0.44
1239-5-10-amf,6.8,1.57,0.47
1250-0-5-amf,6.2,1.09,0.46
1250-5-10-amf,6.2,1.09,0.46
13-0-5-amf,5.7,0.74,0.44
13-5-10-amf,5.7,0.74,0.44
1338-0-5-amf,8.4,0.79,0.54
1387-0-5-amf,5.2,1.79,0.39
1387-5-10-amf,5.2,1.79,0.39
522-0-5-amf,7.5,1.68,0.52
522-5-10-amf,7.5,1.68,0.52
672-5-10-amf,7.6,1.3,0.48
717-5-10-amf,6.8,2.73,0.51
856-0-5-amf,7.7,0.75,0.53
856-5-10-amf,7.7,0.75,0.53
98-0-5-amf,6.6,1.06,0.51
98-5-10-amf,6.6,1.06,0.51
1859-5-10-AMF,1.5,0,0.19
1601-5-10-AMF,6.8,1.17,0.5
1601-0-5-AMF,6.8,1.17,0.5
1619-0-5-AMF,6,0.58,0.45
1619-5-10-AMF,6,0.58,0.45
1832-0-5-AMF,5.1,1.04,0.45
1832-5-10-AMF,5.1,1.04,0.45
1850-0-5-AMF,2.6,0,0.27
1850-5-10-AMF,2.6,0,0.27
1859-0-5-AMF,1.5,0,0.19
1875-0-5-AMF,11.1,0.53,0.53
1875-5-10-AMF,11.1,0.53,0.53
1973-5-10-AMF,6.3,1.3,0.48
1973-0-5-AMF,6.3,1.3,0.48
2355-0-5-AMF,6.7,1.55,0.41
2352-0-5-AMF,7.2,1.02,0.43
2355-5-10-AMF,6.7,1.55,0.41
2597-0-5-AMF,6.1,0.54,0.45
2398-0-5-AMF,6.8,1.92,0.45
2398-5-10-AMF,6.8,1.92,0.45
2500-0-5-AMF,7.8,0.89,0.48
2500-5-10-AMF,7.8,0.89,0.48
2537-5-10-AMF,7.4,0.42,0.48
2537-0-5-AMF,7.4,0.42,0.48
2597-5-10-AMF,6.1,0.54,0.45
2629-0-5-AMF,6.6,1.3,0.46
2629-5-10-AMF,6.6,1.3,0.46
2869-0-5-AMF,12.7,0.33,0.37
2893-0-5-AMF,8.5,0.39,0.47
2893-5-10-AMF,8.5,0.39,0.47
2923-0-5-AMF,6.4,0.3,0.4
2923-5-10-AMF,6.4,0.3,0.4
2869-5-10-AMF,12.7,0.33,0.37
3239-0-5-AMF,4.8,0.18,0.39
3239-5-10-AMF,4.8,0.18,0.39
3381-0-5-AMF,6.5,2.34,0.48
3381-5-10-AMF,6.5,2.34,0.48
3409-0-5-AMF,6.6,0.81,0.47
3409-5-10-AMF,6.6,0.81,0.47
3500-0-5-AMF,8.8,0.53,0.44
3667-0-5-AMF,5,1.51,0.42
3667-5-10-AMF,5,1.51,0.42
3682-0-5-AMF,3.6,0.86,0.36
3682-5-10-AMF,3.6,0.86,0.36
3779-0-5-AMF,3.2,2.35,0.33
3779-5-10-AMF,3.2,2.35,0.33
3907-0-5-AMF,3.9,1.76,0.34
3907-5-10-AMF,3.9,1.76,0.34
473-0-5-AMF,6.2,1.62,0.47
473-5-10-AMF,6.2,1.62,0.47
554-5-10-AMF,10.1,0.61,0.55
672-0-5-AMF,7.6,1.3,0.48
717-0-5-AMF,6.8,2.73,0.51
