,MAT,TAP
1239-5-10-16S,12.5,1118
1250-5-10-16S,12.3,1181
13-5-10-16S,10.6,997
1338-5-10-16S,12.4,1159
1387-5-10-16S,12.6,1088
522-5-10-16S,12.2,1133
672-5-10-16S,12.2,1170
717-5-10-16S,12.1,1220
856-5-10-16S,12.2,1169
98-5-10-16S,12,1149
1859-5-10-16S,12.7,1325
1601-5-10-16S,13,1013
1619-5-10-16S,13,1023
1832-5-10-16S,12.6,1297
1850-5-10-16S,13,1213
1875-5-10-16S,13,1064
1973-5-10-16S,12.9,1111
2355-5-10-16S,13,1005
2398-5-10-16S,12.9,1010
2500-5-10-16S,12.9,1092
2352-5-10-16S,12.8,1043
2537-5-10-16S,13.1,1057
2597-5-10-16S,12.7,1240
2629-5-10-16S,12.6,1242
2893-5-10-16S,13.1,1123
2923-5-10-16S,13.4,995
2869-5-10-16S,13,1161
3239-5-10-16S,13.5,1185
3381-5-10-16S,13.6,1093
3409-5-10-16S,13.5,1188
3667-5-10-16S,13.3,1318
3682-5-10-16S,13.3,1197
3779-5-10-16S,13.4,1272
3907-5-10-16S,13.2,1047
473-5-10-16S,11.9,1197
554-5-10-16S,12.2,1133
