Name,n_percent,c_percent,cn,pH,Fe_percent
1-0-5-ITS,0.328782152,3.631393903,11.04498489,5.47,0.399532925
1239-0-5-ITS,0.100463929,1.367065395,13.60752474,3.73,0.15291941
1239-5-10-ITS,0.064388859,0.556106131,8.636682453,3.77,0.122143962
1250-0-5-ITS,0.168587767,2.289431573,13.58005753,6.3,0.232734764
1250-5-10-ITS,0.08141649,1.220720013,14.99352301,6.14,0.133873316
13-5-10-ITS,0.282051061,4.620445251,16.38159143,6.34,0.41764629
1338-0-5-ITS,0.176649957,2.49725119,14.13672123,3.97,0.134471112
1338-5-10-ITS,0.078708363,0.799166488,10.15351424,3.9,0.098217102
1387-0-5-ITS,0.150187788,1.763141323,11.73957844,4.42,0.18652978
1387-5-10-ITS,0.084086398,0.974348514,11.58746875,4.04,0.182815402
522-0-5-ITS,0.186276499,4.662105005,25.0278754,4.09,0.204684287
522-5-10-ITS,0.068686497,1.129265441,16.44086529,3.95,0.187311647
672-5-10-ITS,0.074429186,1.268331484,17.04078126,3.88,0.111005131
717-5-10-ITS,0.194678519,2.184142861,11.21922888,5.08,0.361311928
856-0-5-ITS,0.15501217,2.07826378,13.40710074,3.91,0.191500925
856-5-10-ITS,0.097234031,1.265257403,13.01249568,3.94,0.178644442
98-0-5-ITS,0.303811016,3.47538608,11.43930239,5.12,0.234940872
98-5-10-ITS,0.143589765,1.518753313,10.57703041,4.98,0.23653157
1859-5-10-ITS2,0.142857099,1.561695666,10.93187305,4.46,0.24776961
1601-5-10-ITS2,0.187366193,2.537182622,13.54130426,4.22,0.561414721
1601-0-5-ITS2,0.146419609,1.782062235,12.1709261,3.98,0.520314757
1619-0-5-ITS2,0.428308459,12.20306456,28.49129946,6.2,0.858983536
1619-5-10-ITS2,0.231163326,8.963584212,38.7759788,7.06,1.276879194
1832-0-5-ITS2,0.112447344,2.875561248,25.57251363,3.59,0.185862216
1832-5-10-ITS2,0.05714503,1.276869241,22.34436224,4.11,0.143842194
1850-0-5-ITS2,0.272881939,3.331665167,12.20918166,4.98,0.335556446
1850-5-10-ITS2,0.128581204,1.239866865,9.642675782,4.08,0.329361089
1859-0-5-ITS2,0.182015155,2.137413566,11.74305272,4.78,0.245294722
1875-0-5-ITS2,0.194822408,3.174063151,16.29208455,4.46,0.163782064
1875-5-10-ITS2,0.112111685,1.79348824,15.99733546,4.56,0.136625737
1973-5-10-ITS2,0.126161195,1.412061554,11.19251882,4.02,0.334420835
1973-0-5-ITS2,0.233618701,2.958378124,12.66327616,4.36,0.325005868
2355-0-5-ITS2,0.108864629,2.171277992,19.94475172,3.84,0.210468815
2352-0-5-ITS2,0.188264571,2.269240309,12.05346443,4.29,0.288998035
2355-5-10-ITS2,0.044970072,0.545376105,12.12753467,3.97,0.140047962
2597-0-5-ITS2,0.207111445,3.016798144,14.56606199,4.53,0.173810692
2398-0-5-ITS2,0.069574497,0.69766437,10.02758764,4.12,0.373887531
2398-5-10-ITS2,0.154818737,2.486598733,16.06135529,3.82,0.228420547
2500-0-5-ITS2,0.068105961,1.083280696,15.9058133,4.41,0.220789605
2500-5-10-ITS2,0.175359587,3.158305423,18.01045196,3.93,0.209350394
2352-5-10-ITS2,0.087479086,0.864574494,9.883213597,4,0.310317848
2537-0-5-ITS2,0.118014943,2.474657056,20.96901454,3.76,0.191838741
2537-5-10-ITS2,0.049435617,0.716783398,14.49933153,3.89,0.178078223
2597-5-10-ITS2,0.069667883,0.848607045,12.18074974,4.06,0.165948376
2629-0-5-ITS2,0.134926356,2.86676963,21.24692103,3.96,0.189421618
2629-5-10-ITS2,0.066397764,1.285646328,19.36279563,3.97,0.140197044
2869-0-5-ITS2,0.230592539,2.987372512,12.95520024,4.66,0.182128906
2893-0-5-ITS2,0.123783124,2.068778469,16.71292822,4.4,0.201634615
2893-5-10-ITS2,0.060403122,0.702632489,11.63238702,4.03,0.1353918
2923-0-5-ITS2,0.116516795,1.981272603,17.00418037,3.92,0.251028404
2923-5-10-ITS2,0.082324299,0.985452976,11.97037803,3.92,0.245700246
2869-5-10-ITS2,0.110866374,1.335203232,12.04335619,4.2,0.179377432
3239-0-5-ITS2,0.148543521,2.567097416,17.2817865,6.35,0.202804642
3239-5-10-ITS2,0.064280129,0.912367154,14.19361124,5.72,0.236674817
3381-0-5-ITS2,0.146420968,1.788129994,12.21225358,5.66,0.17699829
3381-5-10-ITS2,0.082891738,0.867502654,10.46548996,5.22,0.163039208
3409-5-10-ITS2,0.142090259,3.386348915,23.83237904,4.75,0.301435716
3409-0-5-ITS2,0.061454567,0.934991146,15.21434775,4.05,0.286125888
3500-0-5-ITS2,0.338871632,4.897576108,14.45259987,4.7,0.167037779
